frame,time,direction
332,16.6,center
333,16.65,center
334,16.7,center
335,16.75,center
336,16.8,center
337,16.85,center
338,16.9,center
339,16.95,center
340,17.0,center
341,17.05,center
342,17.1,center
343,17.15,center
344,17.2,center
345,17.25,center
346,17.3,center
347,17.35,center
348,17.4,center
349,17.45,center
350,17.5,center
351,17.55,center
352,17.6,blinking
353,17.65,blinking
354,17.7,blinking
355,17.75,blinking
356,17.8,blinking
357,17.85,blinking
358,17.9,blinking
359,17.95,center
360,18.0,center
361,18.05,center
362,18.1,center
363,18.15,blinking
364,18.2,blinking
365,18.25,blinking
366,18.3,blinking
367,18.35,blinking
368,18.4,blinking
369,18.45,blinking
370,18.5,blinking
371,18.55,blinking
372,18.6,blinking
373,18.65,blinking
374,18.7,blinking
375,18.75,blinking
376,18.8,blinking
377,18.85,blinking
378,18.9,blinking
379,18.95,blinking
380,19.0,blinking
381,19.05,blinking
382,19.1,blinking
383,19.15,blinking
384,19.2,blinking
385,19.25,blinking
386,19.3,blinking
387,19.35,blinking
388,19.4,blinking
389,19.45,blinking
390,19.5,blinking
391,19.55,blinking
392,19.6,blinking
393,19.65,blinking
394,19.7,blinking
395,19.75,blinking
396,19.8,blinking
397,19.85,left
398,19.9,left
399,19.95,center
400,20.0,left
401,20.05,center
402,20.1,left
403,20.15,left
404,20.2,center
405,20.25,center
406,20.3,center
407,20.35,center
408,20.4,left
409,20.45,blinking
410,20.5,blinking
411,20.55,blinking
412,20.6,blinking
413,20.65,blinking
414,20.7,blinking
415,20.75,blinking
416,20.8,blinking
417,20.85,blinking
418,20.9,blinking
419,20.95,blinking
420,21.0,blinking
421,21.05,blinking
422,21.1,blinking
423,21.15,blinking
424,21.2,blinking
425,21.25,blinking
426,21.3,blinking
427,21.35,blinking
428,21.4,blinking
429,21.45,blinking
430,21.5,blinking
431,21.55,blinking
432,21.6,blinking
433,21.65,blinking
434,21.7,blinking
435,21.75,blinking
436,21.8,blinking
437,21.85,blinking
438,21.9,blinking
439,21.95,blinking
440,22.0,blinking
441,22.05,blinking
442,22.1,blinking
443,22.15,blinking
444,22.2,blinking
445,22.25,blinking
446,22.3,blinking
447,22.35,blinking
448,22.4,blinking
449,22.45,blinking
450,22.5,blinking
451,22.55,blinking
452,22.6,blinking
453,22.65,blinking
454,22.7,blinking
455,22.75,blinking
456,22.8,blinking
457,22.85,blinking
458,22.9,blinking
459,22.95,blinking
460,23.0,blinking
461,23.05,blinking
462,23.1,blinking
463,23.15,blinking
464,23.2,blinking
465,23.25,blinking
466,23.3,blinking
467,23.35,blinking
468,23.4,blinking
469,23.45,blinking
470,23.5,blinking
471,23.55,blinking
472,23.6,blinking
473,23.65,blinking
474,23.7,blinking
475,23.75,blinking
476,23.8,blinking
477,23.85,blinking
478,23.9,blinking
479,23.95,blinking
480,24.0,blinking
481,24.05,blinking
482,24.1,blinking
483,24.15,blinking
484,24.2,blinking
485,24.25,blinking
486,24.3,blinking
487,24.35,blinking
488,24.4,blinking
489,24.45,blinking
490,24.5,blinking
491,24.55,blinking
492,24.6,blinking
493,24.65,blinking
494,24.7,blinking
495,24.75,blinking
496,24.8,blinking
497,24.85,blinking
498,24.9,blinking
499,24.95,blinking
500,25.0,blinking
501,25.05,blinking
502,25.1,blinking
503,25.15,blinking
504,25.2,blinking
505,25.25,blinking
506,25.3,blinking
507,25.35,blinking
508,25.4,blinking
509,25.45,blinking
510,25.5,blinking
511,25.55,blinking
512,25.6,blinking
513,25.65,blinking
514,25.7,blinking
515,25.75,blinking
516,25.8,blinking
517,25.85,blinking
518,25.9,blinking
519,25.95,blinking
520,26.0,blinking
521,26.05,blinking
522,26.1,blinking
523,26.15,blinking
524,26.2,blinking
525,26.25,blinking
526,26.3,blinking
527,26.35,blinking
528,26.4,blinking
529,26.45,blinking
530,26.5,blinking
531,26.55,blinking
532,26.6,blinking
533,26.65,blinking
534,26.7,blinking
535,26.75,blinking
536,26.8,blinking
537,26.85,blinking
538,26.9,blinking
539,26.95,blinking
540,27.0,blinking
541,27.05,blinking
542,27.1,blinking
543,27.15,blinking
544,27.2,blinking
545,27.25,blinking
546,27.3,blinking
547,27.35,blinking
548,27.4,blinking
549,27.45,blinking
550,27.5,blinking
551,27.55,blinking
552,27.6,blinking
553,27.65,blinking
554,27.7,blinking
555,27.75,blinking
556,27.8,blinking
557,27.85,blinking
558,27.9,blinking
559,27.95,blinking
560,28.0,blinking
561,28.05,blinking
562,28.1,blinking
563,28.15,blinking
564,28.2,blinking
565,28.25,blinking
566,28.3,blinking
567,28.35,blinking
568,28.4,blinking
569,28.45,blinking
570,28.5,blinking
571,28.55,blinking
572,28.6,blinking
573,28.65,blinking
574,28.7,blinking
575,28.75,blinking
576,28.8,blinking
577,28.85,blinking
578,28.9,blinking
579,28.95,blinking
580,29.0,blinking
581,29.05,blinking
582,29.1,blinking
583,29.15,blinking
584,29.2,blinking
585,29.25,blinking
586,29.3,blinking
587,29.35,blinking
588,29.4,blinking
589,29.45,blinking
590,29.5,blinking
591,29.55,blinking
592,29.6,blinking
593,29.65,blinking
594,29.7,blinking
595,29.75,blinking
596,29.8,blinking
597,29.85,blinking
598,29.9,blinking
599,29.95,blinking
600,30.0,blinking
601,30.05,blinking
602,30.1,blinking
603,30.15,blinking
604,30.2,blinking
605,30.25,blinking
606,30.3,blinking
607,30.35,blinking
608,30.4,blinking
609,30.45,blinking
610,30.5,blinking
611,30.55,blinking
612,30.6,blinking
613,30.65,blinking
614,30.7,blinking
615,30.75,blinking
616,30.8,blinking
617,30.85,blinking
618,30.9,blinking
619,30.95,blinking
620,31.0,blinking
621,31.05,blinking
622,31.1,blinking
623,31.15,blinking
624,31.2,blinking
625,31.25,blinking
626,31.3,blinking
627,31.35,blinking
628,31.4,blinking
629,31.45,blinking
630,31.5,blinking
631,31.55,blinking
632,31.6,blinking
633,31.65,blinking
634,31.7,blinking
635,31.75,blinking
636,31.8,blinking
637,31.85,blinking
638,31.9,blinking
639,31.95,blinking
640,32.0,blinking
641,32.05,blinking
642,32.1,blinking
643,32.15,blinking
644,32.2,blinking
645,32.25,blinking
646,32.3,blinking
647,32.35,blinking
648,32.4,blinking
649,32.45,blinking
650,32.5,blinking
651,32.55,blinking
652,32.6,blinking
653,32.65,blinking
654,32.7,blinking
655,32.75,blinking
656,32.8,blinking
657,32.85,blinking
658,32.9,blinking
659,32.95,blinking
660,33.0,blinking
661,33.05,blinking
662,33.1,blinking
663,33.15,blinking
664,33.2,blinking
665,33.25,blinking
666,33.3,blinking
667,33.35,blinking
668,33.4,blinking
669,33.45,blinking
670,33.5,blinking
671,33.55,blinking
672,33.6,blinking
673,33.65,blinking
674,33.7,blinking
675,33.75,blinking
676,33.8,blinking
677,33.85,blinking
678,33.9,blinking
679,33.95,blinking
680,34.0,blinking
681,34.05,blinking
682,34.1,blinking
683,34.15,blinking
684,34.2,blinking
685,34.25,blinking
686,34.3,blinking
687,34.35,blinking
688,34.4,blinking
689,34.45,blinking
690,34.5,blinking
691,34.55,blinking
692,34.6,blinking
693,34.65,blinking
694,34.7,blinking
695,34.75,blinking
696,34.8,blinking
697,34.85,blinking
698,34.9,blinking
699,34.95,blinking
700,35.0,blinking
701,35.05,blinking
702,35.1,blinking
703,35.15,blinking
704,35.2,blinking
705,35.25,blinking
706,35.3,blinking
707,35.35,blinking
708,35.4,blinking
709,35.45,blinking
710,35.5,blinking
711,35.55,blinking
712,35.6,blinking
713,35.65,blinking
714,35.7,blinking
715,35.75,blinking
716,35.8,blinking
717,35.85,blinking
718,35.9,blinking
719,35.95,blinking
720,36.0,blinking
721,36.05,blinking
722,36.1,blinking
723,36.15,blinking
724,36.2,blinking
725,36.25,blinking
726,36.3,blinking
727,36.35,blinking
728,36.4,blinking
729,36.45,blinking
730,36.5,blinking
731,36.55,blinking
732,36.6,blinking
733,36.65,blinking
734,36.7,blinking
735,36.75,blinking
736,36.8,blinking
737,36.85,blinking
738,36.9,blinking
739,36.95,blinking
740,37.0,blinking
741,37.05,blinking
742,37.1,blinking
743,37.15,blinking
744,37.2,blinking
745,37.25,blinking
746,37.3,blinking
747,37.35,blinking
748,37.4,blinking
749,37.45,blinking
750,37.5,blinking
751,37.55,blinking
752,37.6,blinking
753,37.65,blinking
754,37.7,blinking
755,37.75,blinking
756,37.8,blinking
757,37.85,blinking
758,37.9,blinking
759,37.95,blinking
760,38.0,blinking
761,38.05,blinking
762,38.1,blinking
763,38.15,blinking
764,38.2,blinking
765,38.25,blinking
766,38.3,blinking
767,38.35,blinking
768,38.4,blinking
769,38.45,blinking
770,38.5,blinking
771,38.55,blinking
772,38.6,blinking
773,38.65,blinking
774,38.7,blinking
775,38.75,blinking
776,38.8,blinking
777,38.85,blinking
778,38.9,blinking
779,38.95,blinking
780,39.0,blinking
781,39.05,blinking
782,39.1,blinking
783,39.15,blinking
784,39.2,blinking
785,39.25,blinking
786,39.3,blinking
787,39.35,blinking
788,39.4,blinking
789,39.45,blinking
790,39.5,blinking
791,39.55,blinking
792,39.6,blinking
793,39.65,blinking
794,39.7,blinking
795,39.75,blinking
796,39.8,blinking
797,39.85,blinking
798,39.9,blinking
799,39.95,blinking
800,40.0,blinking
801,40.05,blinking
802,40.1,blinking
803,40.15,blinking
804,40.2,blinking
805,40.25,blinking
806,40.3,blinking
807,40.35,blinking
808,40.4,blinking
809,40.45,blinking
810,40.5,blinking
811,40.55,blinking
812,40.6,blinking
813,40.65,blinking
814,40.7,blinking
815,40.75,blinking
816,40.8,blinking
817,40.85,blinking
818,40.9,blinking
819,40.95,blinking
820,41.0,blinking
821,41.05,blinking
822,41.1,blinking
823,41.15,blinking
824,41.2,blinking
825,41.25,blinking
826,41.3,blinking
827,41.35,blinking
828,41.4,blinking
829,41.45,blinking
830,41.5,blinking
831,41.55,blinking
832,41.6,blinking
833,41.65,blinking
834,41.7,blinking
835,41.75,blinking
836,41.8,blinking
837,41.85,blinking
838,41.9,blinking
839,41.95,blinking
840,42.0,blinking
841,42.05,blinking
842,42.1,blinking
843,42.15,blinking
844,42.2,blinking
845,42.25,blinking
846,42.3,blinking
847,42.35,blinking
848,42.4,blinking
849,42.45,blinking
850,42.5,blinking
851,42.55,blinking
852,42.6,blinking
853,42.65,blinking
854,42.7,blinking
855,42.75,blinking
856,42.8,blinking
857,42.85,blinking
858,42.9,blinking
859,42.95,blinking
860,43.0,blinking
861,43.05,blinking
862,43.1,blinking
863,43.15,blinking
864,43.2,blinking
865,43.25,blinking
866,43.3,blinking
867,43.35,blinking
868,43.4,blinking
869,43.45,blinking
870,43.5,blinking
871,43.55,blinking
872,43.6,blinking
873,43.65,blinking
874,43.7,blinking
875,43.75,blinking
876,43.8,blinking
877,43.85,blinking
878,43.9,blinking
879,43.95,blinking
880,44.0,blinking
881,44.05,blinking
882,44.1,blinking
883,44.15,blinking
884,44.2,blinking
885,44.25,blinking
886,44.3,blinking
887,44.35,blinking
888,44.4,blinking
889,44.45,blinking
890,44.5,blinking
891,44.55,blinking
892,44.6,blinking
893,44.65,blinking
894,44.7,blinking
895,44.75,blinking
896,44.8,blinking
897,44.85,blinking
898,44.9,blinking
899,44.95,blinking
900,45.0,blinking
901,45.05,blinking
902,45.1,blinking
903,45.15,blinking
904,45.2,blinking
905,45.25,blinking
906,45.3,blinking
907,45.35,blinking
908,45.4,blinking
909,45.45,blinking
910,45.5,blinking
911,45.55,blinking
912,45.6,blinking
913,45.65,blinking
914,45.7,blinking
915,45.75,blinking
916,45.8,blinking
917,45.85,blinking
918,45.9,blinking
919,45.95,blinking
920,46.0,blinking
921,46.05,blinking
922,46.1,blinking
923,46.15,blinking
924,46.2,blinking
925,46.25,blinking
926,46.3,blinking
927,46.35,blinking
928,46.4,blinking
929,46.45,blinking
930,46.5,blinking
931,46.55,blinking
932,46.6,blinking
933,46.65,blinking
934,46.7,blinking
935,46.75,blinking
936,46.8,blinking
937,46.85,blinking
938,46.9,blinking
939,46.95,blinking
940,47.0,blinking
941,47.05,blinking
942,47.1,blinking
943,47.15,blinking
944,47.2,blinking
945,47.25,blinking
946,47.3,blinking
947,47.35,blinking
948,47.4,blinking
949,47.45,blinking
950,47.5,blinking
951,47.55,blinking
952,47.6,blinking
953,47.65,blinking
